Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Buffalo/Rochester,Weekly,"2022-01-16 00:00:00",Conventional,1.421010791,196602.67,27655.05,54018.01,852.65,114076.96,,,
Buffalo/Rochester,Weekly,"2022-01-16 00:00:00",Organic,1.704389497,12651.95,1159.28,70.69,0.00,11421.98,,,
California,Weekly,"2022-01-16 00:00:00",Conventional,1.416480779,5902997.43,2913744.69,1093634.05,467616.06,1428002.63,,,
California,Weekly,"2022-01-16 00:00:00",Organic,1.806714944,415865.04,149659.64,89829.35,2.92,176373.12,,,
Charlotte,Weekly,"2022-01-16 00:00:00",Conventional,1.350760971,354305.22,131795.36,65924.42,7049.30,149536.14,,,
Charlotte,Weekly,"2022-01-16 00:00:00",Organic,1.738038421,17493.45,199.86,3385.64,43.79,13864.16,,,
Chicago,Weekly,"2022-01-16 00:00:00",Conventional,1.436124093,813374.37,200859.59,237846.90,121831.00,252836.88,,,
Chicago,Weekly,"2022-01-16 00:00:00",Organic,1.608909892,50526.45,19922.53,12314.97,0.00,18288.96,,,
Cincinnati/Dayton,Weekly,"2022-01-16 00:00:00",Conventional,0.984112511,354847.37,230605.66,85453.69,1051.37,37736.65,,,
Cincinnati/Dayton,Weekly,"2022-01-16 00:00:00",Organic,1.861906951,14986.40,3345.58,9095.21,0.00,2545.60,,,
Columbus,Weekly,"2022-01-16 00:00:00",Conventional,0.946177831,296388.67,198942.42,53404.59,1284.18,42757.47,,,
Columbus,Weekly,"2022-01-16 00:00:00",Organic,1.646888999,8978.73,2465.66,3330.80,0.00,3182.27,,,
"Dallas/Ft. Worth",Weekly,"2022-01-16 00:00:00",Conventional,0.996608315,1422385.19,621864.35,279686.02,14376.47,506458.36,,,
"Dallas/Ft. Worth",Weekly,"2022-01-16 00:00:00",Organic,1.504172223,46690.71,12330.59,1156.89,0.00,33203.22,,,
Denver,Weekly,"2022-01-16 00:00:00",Conventional,1.305306175,915599.54,439658.76,176215.16,39604.49,260121.13,,,
Denver,Weekly,"2022-01-16 00:00:00",Organic,1.731031100,43257.07,31117.06,1617.07,3.22,10519.72,,,
Detroit,Weekly,"2022-01-16 00:00:00",Conventional,0.997188033,516330.26,315748.69,65949.17,27294.39,107338.01,,,
Detroit,Weekly,"2022-01-16 00:00:00",Organic,1.231436932,26220.79,2671.92,4093.15,0.00,19455.71,,,
