Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units
California,Weekly,2020-01-13 00:00:00,Conventional,1.17677343,5845610.54,2562709.34,1873151.37,632035.53,777695.41,,,
California,Weekly,2020-01-13 00:00:00,Organic,1.876449464,240032.48,101137.62,69623.63,27.86,69236.75,,,
Charlotte,Weekly,2020-01-13 00:00:00,Conventional,1.164419347,298532.84,137448.33,64122.78,2470.27,94491.46,,,
Charlotte,Weekly,2020-01-13 00:00:00,Organic,1.67139806,13063.66,2306.05,4362.35,61.58,6333.68,,,
Chicago,Weekly,2020-01-13 00:00:00,Conventional,1.468631524,643065.43,147863.45,263663.62,116462.0,115076.37,,,
Chicago,Weekly,2020-01-13 00:00:00,Organic,1.643082625,85053.62,4454.77,71281.95,0.0,9315.96,,,
Cincinnati/Dayton,Weekly,2020-01-13 00:00:00,Conventional,0.820248267,348530.86,245063.72,47948.56,29431.86,26086.72,,,
Cincinnati/Dayton,Weekly,2020-01-13 00:00:00,Organic,1.307102751,18524.21,7467.77,8932.86,0.0,2123.57,,,
Columbus,Weekly,2020-01-13 00:00:00,Conventional,0.778079074,274585.63,212810.09,27660.65,6161.54,27953.36,,,
Columbus,Weekly,2020-01-13 00:00:00,Organic,1.668057299,11809.15,6017.36,3514.01,0.0,2277.79,,,
Dallas/Ft. Worth,Weekly,2020-01-13 00:00:00,Conventional,0.724451592,1597283.48,906581.02,430312.34,9683.35,250704.88,,,
Dallas/Ft. Worth,Weekly,2020-01-13 00:00:00,Organic,1.418512709,32385.59,9266.42,3164.73,316.79,19637.66,,,
Denver,Weekly,2020-01-13 00:00:00,Conventional,1.134172268,767270.78,297717.23,280913.82,18196.65,170442.13,,,
Denver,Weekly,2020-01-13 00:00:00,Organic,1.11641711,156818.59,122247.29,28762.02,6.43,5801.91,,,
Detroit,Weekly,2020-01-13 00:00:00,Conventional,0.871948697,541726.08,322560.25,95613.75,50910.65,72641.43,,,
Detroit,Weekly,2020-01-13 00:00:00,Organic,1.655608347,24591.02,11264.88,6072.52,0.0,7253.63,,,
Grand Rapids,Weekly,2020-01-13 00:00:00,Conventional,1.524959933,155636.81,6921.38,63130.5,49364.0,36220.93,,,
Grand Rapids,Weekly,2020-01-13 00:00:00,Organic,1.561919237,5506.89,32.53,1382.2,0.0,4092.15,,,
Great Lakes,Weekly,2020-01-13 00:00:00,Conventional,1.031688694,3925451.3,1876359.62,1080127.49,363706.8,605256.45,,,
Great Lakes,Weekly,2020-01-13 00:00:00,Organic,1.622253479,205844.8,43318.66,110497.79,33.44,51993.03,,,
Harrisburg/Scranton,Weekly,2020-01-13 00:00:00,Conventional,1.063728092,332729.07,54112.12,171661.22,527.82,106427.92,,,
Harrisburg/Scranton,Weekly,2020-01-13 00:00:00,Organic,1.134208858,17499.05,688.69,257.94,0.0,16552.42,,,
Hartford/Springfield,Weekly,2020-01-13 00:00:00,Conventional,1.503836209,297353.33,8544.84,225734.65,650.4,62423.43,,,
Hartford/Springfield,Weekly,2020-01-13 00:00:00,Organic,1.760464188,16306.09,732.94,5988.56,0.0,9584.59,,,
Houston,Weekly,2020-01-13 00:00:00,Conventional,0.624600739,1450462.87,996316.04,323160.04,1199.94,129786.86,,,
Houston,Weekly,2020-01-13 00:00:00,Organic,1.630335999,12902.2,11327.23,649.79,0.0,925.18,,,
Indianapolis,Weekly,2020-01-13 00:00:00,Conventional,0.835302581,289514.11,194860.92,45526.09,11497.78,37629.31,,,
Indianapolis,Weekly,2020-01-13 00:00:00,Organic,1.54595376,7042.67,3005.76,1576.09,0.0,2459.88,,,
Jacksonville,Weekly,2020-01-13 00:00:00,Conventional,0.912207688,243489.72,189865.3,8754.56,986.66,43883.2,,,
Jacksonville,Weekly,2020-01-13 00:00:00,Organic,1.238938758,8890.52,62.2,156.98,0.0,8671.34,,,
Las Vegas,Weekly,2020-01-13 00:00:00,Conventional,1.007831028,344041.28,106014.42,170664.29,683.52,66679.05,,,
Las Vegas,Weekly,2020-01-13 00:00:00,Organic,1.393461295,11302.87,6639.75,1720.37,0.0,2942.76,,,
Los Angeles,Weekly,2020-01-13 00:00:00,Conventional,1.168745427,2658007.7,1326676.53,454259.69,479988.28,397071.86,,,
Los Angeles,Weekly,2020-01-13 00:00:00,Organic,1.767451767,115036.2,61579.1,36845.18,4.22,16603.91,,,
Louisville,Weekly,2020-01-13 00:00:00,Conventional,0.837634199,152561.13,99939.47,32734.68,211.24,19675.73,,,
Louisville,Weekly,2020-01-13 00:00:00,Organic,1.495007903,4449.82,2234.31,1515.84,0.0,699.66,,,
Miami/Ft. Lauderdale,Weekly,2020-01-13 00:00:00,Conventional,0.923790717,1008981.52,814820.8,40783.65,4309.6,149065.58,,,
Miami/Ft. Lauderdale,Weekly,2020-01-13 00:00:00,Organic,1.267062785,27273.16,409.48,1503.66,0.0,25360.01,,,
